,"Group name","Nets targeting demersals and crustaceans  (EUR/biomass)","Pelagic and bottom trawls targeting small pelagics (EUR/biomass)","Bottom trawls targeting demersals and cephalopods (EUR/biomass)","Pelagic trawls targeting demersals (EUR/biomass)","Other fishing gears (EUR/biomass)","Dredge (EUR/biomass)",
1,Phytoplancton,,,,,,,
2,Bacteria,,,,,,,
3,Microzooplankton,,,,,,,
4,"Meszooplankton and Macrozooplancton",,,,,,,
5,Meiofauna,,,,,,,
6,Suprabenthos,,,,,,,
7,"Benthic inv. deposit feeders (Surface)",,,,,,,
8,"Benthic inv. deposit feeders (Subsurface)",,,,,,,
9,"King scallop",38.8,,38.8,38.8,,38.8,
10,"Benthic inv. bivalves filter feeders",,,,,,,
11,"Benthic inv. filter feeders",,,,,,,
12,"Benthic inv. predators",,,,,,,
13,"Fish limande ",10.5,10.5,10.5,10.5,10.5,,
14,"Fish flounder",10.7,10.7,10.7,10.7,10.7,,
15,"Fish european plaice",6,6,6,6,6,,
16,"Fish sole",16,16,16,16,16,,
17,"Fish sea bream",5.8,5.8,5.8,5.8,5.8,,
18,"Fish benthos feeders",7,7,7,7,7,,
19,"Fish planctivorous",0.7,0.7,0.7,0.7,0.7,,
20,"Fish piscivorous",10.7,10.7,10.7,10.7,10.7,,
21,"Fish european sprat",,,,,,,
22,"Fish european pilchard",2.5,2.5,2.5,2.5,2.5,,
23,"Fish poor cod",,,,,,,
24,"Fish pouting",1.4,1.4,1.4,1.4,1.4,,
25,"Fish gurnard",4.3,4.3,4.3,4.3,4.3,,
26,"Fish atlantic horse mackerel",4.5,4.5,4.5,4.5,4.5,,
27,"Fish whiting",4.5,4.5,4.5,4.5,4.5,,
28,"Fish atlantic cod",9.4,9.4,9.4,9.4,9.4,,
29,"Fish sharks",3.2,3.2,3.2,3.2,3.2,,
30,"Fish rays",10,10,10,10,10,,
31,"Fish european seabass",20.5,20.5,20.5,20.5,20.5,,
32,"Fish mackerel",3.3,3.3,3.3,3.3,3.3,,
33,"Benthic cephalopods",13.5,,13.5,,13.5,,
34,"Benthopelagic cephalopods",11,11,11,11,11,,
35,"Surface feeders seabirds",,,,,,,
36,"Plunge and pursuit divers seabirds",,,,,,,
37,"Benthic feeders seabirds",,,,,,,
38,Phocidae,,,,,,,
39,"Harbour porpoises",,,,,,,
40,"Bottlenose dolphins",,,,,,,
41,Discards,,,,,,,
42,Detritus,,,,,,,
